	DTHY	h
 modista	C0I4	BU
 monitora	C0+e	Bb
 mortal	C2PF	BQ
 moza	C20i	BI
 moza	C21q	BE
 musulmana	C4Bo	Br
 notaria	C8d9	BM
 observadora	C+uN	Bw
 paca	DFfP	BG
 pasajera	DKaO	Bc
 pastelera	DLUL	Be
 progenitora	Dlov	Bm
 progenitora	DlqV	Bf
00databasealphabet	EZcO	s
00databasedictfmt1121	B	b
00databaseinfo	c	We
00databaseshort	W6	s
00databaseurl	EZcG	I
00databaseutf8	A	B
a	PSV	W
a bordo	BMm	l
a cambio	Cda	j
a consecuencia	EDb	u
a continuación	EIS	BG
a cuadros	E2X	i
a cuatro voces	E6z	7
a diez días de	Ful	5
a ella	Gv4	W
a favor	HB6	d
a favor de	HCX	k
a fondo	Hr1	l
a gran valor artístico	Ixk	Ba
a la costa de los demás	KPB	BM
a la derecha	KSA	o
a la intemperie	KUR	x
a la izquierda	KWB	BF
a la izquierda	KXG	Bi
a la plancha	KfD	p
a largo plazo	Kg4	x
a lo grande	Muq	p
a lo largo de	Mwx	z
a lo largo de	Mxk	BO
a lo lejos	Myy	j
a lo mejor	MzV	m
a lo que íbamos 	M1t	BG
a mano	N0t	b
a mediados delde la mes semana	OYH	B0
a medias	OZ7	m
a menudo	Oef	0
a mi	Oz1	S
a mi manera	OyV	r
a mi manera	OzA	1
a miles de kilómetros de	Ow3	Be
a mí	O0H	a
a pesar de	TRn	k
a pie	TZS	Y
a presión	UB1	m
a propósito	UQE	q
a propósito	UQu	w
a que no lo sabes 	UpE	BH
a quién	Uqk	p
a qué hora	Uke	v
a rayas	Uzl	i
a salvo	W5a	a
a sus pies	YaZ	BD
a ti	ZBD	S
a tiempo	ZBV	i
a toda pastilla	ZKl	BU
a través de	Zho	o
a trozos	ZtK	k
a un	Z/k	U
a veces	bQu	f
a ver	bim	b
a él	Gvl	T
abad	ZD	h
abadesa	Xm	w
abadía	YW	t
abajo	Zk	X
abandonar	Z7	q
abandono	al	v
abandono	bU	1
abanicar	cJ	n
abanico	cw	t
abaratar	dd	r
abarcar	eI	1
abastecer	e9	r
abastecimiento	fo	BC
abatida	gq	BI
abatido	gq	BI
abdicación	hy	3
abdicar	ip	h
abdominal	j9	BL
abdominal	jK	z
abecedario	lI	3
abecé	l/	9
abedul	m8	q
abedul	nm	v
abeja	oV	l
abejarrón	o6	BW
abejero	qQ	BP
abejorro	o6	BW
aberración	rf	BX
aberrante	s2	7
abertura	tx	0
abertura	ul	y
abeto	wq	l
abeto blanco	vX	BT
abeto rojo	xP	1
abierta	yE	BJ
abierto	yE	BJ
abismo	zN	p
abjurar	z2	BG
ablandamiento	08	8
ablandar	14	r
abnegación	2j	3
abnegada	3a	BF
abnegado	3a	BF
abobada	4f	BU
abobado	4f	BU
abobamiento	5z	6
abobar	6t	m
abochornada	7T	BU
abochornado	7T	BU
abochornar	8n	BZ
abofetear	+A	s
abogada	+s	x
abogado	/d	u
abolengo	BAL	1
abolición	BBA	3
abolir	BB3	l
abolladura	BCc	BG
abollar	BDi	2
abominable	BEY	BA
abominar	BFY	k
abonado	BF8	v
abonar	BGr	9
abono	BHo	q
abono	BIS	BB
abono	BJT	r
abordaje	BJ+	w
abordaje	BKu	BC
abordar	BLw	2
aborigen	BNL	r
aborrecer	BN2	m
abortar	BO/	v
abortar	BOc	j
abortiva	BPu	Bb
abortivo	BPu	Bb
aborto	BRJ	t
abotagarse	BR2	BF
abotonar	BS7	l
abrasar	BTg	4
abrasivo	BUY	3
abrazadera	BVP	BD
abrazar	BWS	i
abrazo	BW0	/
abrelatas	BXz	3
abrevadero	BYq	3
abrevar	BZh	j
abreviación	BaE	8
abreviar	BbA	o
abreviar	Bbo	r
abreviatura	BcT	BD
abridor	BdW	Bx
abridora	BdW	Bx
abrigar	BfH	BG
abrigo	Bh8	q
abrigo	BhS	q
abrigo de pieles	BgN	BF
abril	Bjw	m
abrillantar	Bim	BK
abrimiento	BkW	BL
abrir	Bm8	v
